Id	Time	MeanValence	MeanArousal
0	0	0.010292438143370001	0.02672322091696
1	5	0.028888969625610005	0.04358051462978
2	10	0.05031553914141999	0.06644113942209
3	15	0.07640735087642	0.09167673003308
4	20	0.09833995444713	0.11164909526806
5	25	0.1119459477098	0.11888104976429999
6	30	0.1301614824212	0.11179755643651001
7	35	0.15176087084079998	0.09097524032093
8	40	0.17031299917339998	0.06415233078716001
9	45	0.1875675694605	0.037348485124219996
10	50	0.1986093498707	0.01797998969553
11	55	0.203691019645	0.011930418505599998
12	60	0.2081562746625	0.011881440734099998
13	65	0.2117313674942	0.011881440734099998
14	70	0.21192397798549995	0.011881440734099998
15	75	0.2023616947777	0.010630833298977998
16	80	0.18437422043470003	-0.005549748837308
17	85	0.16522412850100002	-0.053629339252796004
18	90	0.1472470056154	-0.12393717412956
19	95	0.1376823111058	-0.1970030050194
20	100	0.13651969351499998	-0.25513886120819995
21	105	0.13651969351499998	-0.28137570911779997
22	110	0.13651969351499998	-0.28538431256599994
23	115	0.13651969351499998	-0.28538431256599994
24	120	0.13689162226980003	-0.28538431256599994
25	125	0.1395077313074	-0.28538431256599994
26	130	0.1442471963151	-0.28538431256599994
27	135	0.149237765765	-0.28538431256599994
28	140	0.1538564064602	-0.28538431256599994
29	145	0.1562308668722	-0.28538431256599994
30	150	0.156481971314	-0.28702323774700006
31	155	0.156481971314	-0.30116109946450004
32	160	0.156481971314	-0.3261454856166
33	165	0.1564966185268	-0.3418068949296001
34	170	0.1613395068222	-0.3451928955862
35	175	0.17852558807059998	-0.33475296614909994
36	180	0.2034810247971	-0.3134665122773
37	185	0.22866157070560003	-0.30150303524440003
38	190	0.2490138755313	-0.300176041687
39	195	0.2536818088338	-0.300176041687
40	200	0.24060908228470007	-0.300176041687
41	205	0.22048422910899998	-0.2990152040751
42	210	0.2001771315045	-0.28426805021760004
43	215	0.1832112124698	-0.25363250424449996
44	220	0.17621659780879997	-0.21953404478949995
45	225	0.17603435337999998	-0.18659642294639997
46	230	0.17603435337999998	-0.16724511734890002
47	235	0.17603435337999998	-0.16378220386700001
48	240	0.17603435337999998	-0.16378220386700001
49	245	0.17603435337999998	-0.16378220386700001
50	250	0.17603435337999998	-0.16378220386700001
51	255	0.17603435337999998	-0.16378220386700001
52	260	0.17603435337999998	-0.16378220386700001
53	265	0.17603435337999998	-0.16378220386700001
54	270	0.1750221074526	-0.16378220386700001
55	275	0.16522902604019998	-0.16378220386700001
56	280	0.1455125222788	-0.16378220386700001
57	285	0.11208359120879001	-0.16378220386700001
58	290	0.06327702083558001	-0.16378220386700001
59	295	0.018418995233920897	-0.16378220386700001
60	300	-0.0165156080184291	-0.16378220386700001
61	305	-0.037737521300410005	-0.1583773434382
62	310	-0.04137680325359	-0.1435101161129
63	315	-0.0380827647552	-0.12458538231980001
64	320	-0.03388017995544	-0.10566064852663999
65	325	-0.02967785781722	-0.09214077516243999
66	330	-0.02666770392208	-0.0880832686948
67	335	-0.0187371568264308	-0.0880832686948
68	340	0.0018113489384522	-0.09216155900699999
69	345	0.028865514590503	-0.11252750832880001
70	350	0.05591910238715	-0.14643747994129996
71	355	0.07568597873968	-0.18168210514709998
72	360	0.07950592039504	-0.2132083580588
73	365	0.07333194772067	-0.23634713700489995
74	370	0.06387270865321001	-0.2563494972618
75	375	0.05265374260525	-0.277884540501
76	380	0.04378234396983	-0.29905966572209997
77	385	0.03839919977698001	-0.31233460589929996
78	390	0.03629733668294001	-0.31520194247499994
79	395	0.030480068222189998	-0.31520194247499994
80	400	0.014899243592037004	-0.31520194247499994
81	405	-0.0047749908324660004	-0.31520194247499994
82	410	-0.024438666831783	-0.3168755414117
83	415	-0.03836192197866001	-0.3238823471511
84	420	-0.04244875864217001	-0.329242655935
85	425	-0.04244218551130001	-0.32894346762029997
86	430	-0.04244218551130001	-0.3199627429606
