Id	Time	MeanValence	MeanArousal
0	0	2.9999999999999997e-05	2.9999999999999997e-05
1	5	-0.009255820339000001	0.0010441672031870001
2	10	-0.046485809910669994	0.020279224159327
3	15	-0.11498577298927	0.09727279347904
4	20	-0.21141101592220002	0.2267902889471
5	25	-0.3337720843934	0.3712431448031
6	30	-0.4526893854071	0.5092283113528999
7	35	-0.5191577516925	0.5974368366311
8	40	-0.5332368678574	0.633447497663
9	45	-0.5151030139247	0.653478631104
10	50	-0.4674015444178001	0.6617865640980999
11	55	-0.4240558492032	0.662112626
12	60	-0.3944775794922	0.662112626
13	65	-0.36145878868359993	0.662112626
14	70	-0.3334772116738	0.6630311189271001
15	75	-0.32318978030569995	0.6748815290996
16	80	-0.33121973659049997	0.700378910405
17	85	-0.3527181761344	0.7294210146211999
18	90	-0.3985366908684	0.7602668094949
19	95	-0.4847234132177	0.7874815864391
20	100	-0.5922937161924999	0.8057952782566999
21	105	-0.6971396265753	0.8275197483216999
22	110	-0.7826498063203001	0.8477816003570998
23	115	-0.8274514975545999	0.8626609804380999
24	120	-0.8425202653955999	0.8731434835795999
25	125	-0.8349043889523999	0.873325388008
26	130	-0.8033488324691002	0.8806555754562
27	135	-0.763929100233	0.8905393398821999
28	140	-0.7273008237383001	0.8967416708507001
29	145	-0.7152852993901	0.9057250837831001
30	150	-0.7372901765407001	0.8939854825879001
31	155	-0.772219201266	0.8710637687764
32	160	-0.8057061895981	0.8635270089621999
33	165	-0.8269828247183	0.8634133530539001
34	170	-0.8331050276849001	0.8877294456266001
35	175	-0.8255990581003999	0.9296282290033
36	180	-0.7845193811192999	0.9611409250846998
37	185	-0.7186461540742999	0.9836476349700998
38	190	-0.6585156310981	0.9758570066343
39	195	-0.6111501804713001	0.9448650057702
40	200	-0.5957090165349002	0.9174593785160001
